Protein Accession	Assembly	Species	Lineage	Assembly BioProject Lineage Title	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Models	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly Level	Assembly Notes	Assembly Sequencing Tech	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Total Sequence Length	Current Accession	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length MB	Signature.accession	Combined Signature description	Total Signature Description	color three
WP_254626771.1	GCF_013336645.1	Myxococcus sp. CA039A	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus	Myxococcus Genome sequencing and assembly	strain	CA039A	Microbe sample from Myxococcus sp. CA039A	Not Available	Microbe, viral or environmental	Aberystwyth University	Microbe.1.0	2020-06-04 0:00:00	Contig	Not Available	Illumina HiSeq	7968669	68.5	59.0x	11590801	GCF_013336645.1	Myxococcus sp. CA039A	2741737	11.590801	cd05931	FAAL	1	#FFFFFF
WP_141644606.1	GCF_006636215.1	Myxococcus	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae	Myxococcus llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis strain:AM401 Genome sequencing and assembly	strain	AM401	Microbe sample of Myxococcus spp	Not Available	Microbe, viral or environmental	Aberystwyth University	Microbe.1.0	2019-06-24 0:00:00	Contig	Not Available	Illumina HiSeq	8521384	68.5	30.0x	12411432	GCF_006636215.1	Myxococcus llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis	2590453	12.411432	cd05931	FAAL	1	#FFFFFF
WP_163864354.1	GCF_013372595.1	Myxococcus	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae	Myxococcus sp. AM011 Genome sequencing and assembly	strain	AM011	Microbe sample from Myxococcus sp. AM011	Not Available	Microbe, viral or environmental	Aberystwyth University	Microbe.1.0	2020-06-15 0:00:00	Contig	Not Available	Illumina HiSeq	8000460	69	82.0x	11618764	GCF_013372595.1	Myxococcus sp. AM011	2745200	11.618764	cd05931	FAAL	1	#FFFFFF
AYM52820.1	No Genome	Myxococcus fulvus	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05931	FAAL	1	#FFFFFF
WP_253995609.1	GCF_024198215.1	Myxococcus qinghaiensis	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus	Myxococcus qinghaiensis strain:QH3KD-4-1 Genome sequencing and assembly	strain	QH3KD-4-1	Microbe sample from Myxococcus sp. QH3KD-4-1	Not Available	Microbe, viral or environmental	Guangdong Institute of Microbiology	Microbe.1.0	2022-06-01 0:00:00	Contig	Not Available	Illumina	7956027	69	100.0x	11517428	GCF_024198215.1	Myxococcus qinghaiensis	2906758	11.517428	cd05931	FAAL	1	#FFFFFF
MBC7254318.1	GCA_014360685.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Thermophilic methanogenic long-chain n-paraffins(C21-C30)-degrading enrichment cultures	isolation_source	Shengli oilfield at Shandong province	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	East China University of Science and Technology	Microbe.1.0	2020-07-27 0:00:00	Contig	derived from metagenome,genus undefined	HiSeq X Ten	1668132	64	35.6x	2611222	GCA_014360685.1	Actinomycetota bacterium	2900548	2.611222	cd05931	FAAL	1	#FFFFFF
MBC7247607.1	GCA_014360655.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Thermophilic methanogenic long-chain n-paraffins(C21-C30)-degrading enrichment cultures	isolation_source	Shengli oilfield at Shandong province	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	East China University of Science and Technology	Microbe.1.0	2020-07-27 0:00:00	Contig	derived from metagenome,genus undefined	HiSeq X Ten	1921253	64.5	2839.0x	2972389	GCA_014360655.1	Actinomycetota bacterium	2900548	2.972389	cd05931	FAAL	1	#FFFFFF
NPV59332.1	GCA_013178005.1	Actinomycetota bacterium	Bacteria; Actinomycetota	subsurface metagenome Metagenome	isolation_source	2.8-km deep subsurface aquifer	Metagenome-assembled Genome sample Actinobacteria bacterium Ch49	Not Available	Microbe, viral or environmental	Institute of Bioengineering, Research Center of Biotechnology of RAS	Microbe.1.0	2020-05-14 0:00:00	Contig	derived from metagenome,genus undefined	Illumina Hiseq 2500; Oxford Nanopore	2275164	63	16.0x	3611910	GCA_013178005.1	Actinomycetota bacterium	2900548	3.61191	cd05931	FAAL	1	#FFFFFF
RJP30864.1	GCA_003598015.1	Actinomycetota bacterium	Bacteria; Actinomycetota	subsurface metagenome Metagenomic assembly	isolation_source	deeply circulating subsurface aquifer fluids	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	University of Southern California	Microbe.1.0	2018-02-13 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	2312238	61	20.0x	3786856	GCA_003598015.1	Actinomycetota bacterium	2900548	3.786856	cd05931	FAAL	1	#FFFFFF
MBN2026544.1	GCA_016931915.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Zodletone Spring Metagenomics and Metatranscriptomics	isolate	Zod_Metabat.1188	MIMAG Metagenome-assembled Genome sample from Actinomycetes bacterium	Not Available	MIMAG.sediment	Oklahoma State University	MIMAG.sediment.6.0	2021-01-06 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	2348182	60	14.0x	3910073	GCA_016931915.1	Actinomycetota bacterium	2900548	3.910073	cd05931	FAAL	1	#FFFFFF
WP_184834913.1	GCF_014204945.1	Allocatelliglobosispora scoriae	Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Allocatelliglobosispora	Allocatelliglobosispora scoriae DSM 45362 genome sequencing	strain	DSM 45362	Allocatelliglobosispora scoriae DSM 45362	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2019-09-20 0:00:00	Contig	Not Available	PacBio	6415014	70	89.0x	9149827	GCF_014204945.1	Allocatelliglobosispora scoriae	643052	9.149827	cd05931	FAAL	1	#FFFFFF
GIG16763.1	GCA_016862655.1	Catellatospora methionotrophica	Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Catellatospora	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05931	FAAL	1	#FFFFFF
RIK07421.1	GCA_003577105.1	Acidobacteriota bacterium	Bacteria; Acidobacteriota	bioreactor sludge metagenome Genome sequencing and assembly	isolation_source	lab-scale wastewater treatment bioreactor	Microbe sample from Actinobacteria bacterium ATN3	Not Available	Microbe, viral or environmental	Peking University	Microbe.1.0	2018-09-21 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	1718327	60	10.0x	2867214	GCA_003577105.1	Acidobacteriota bacterium	1978231	2.867214	cd05931	FAAL	1	#FFFFFF
MCL4421944.1	GCA_023379605.1	Actinomycetota bacterium	Bacteria; Actinomycetota	mine drainage metagenome Genome sequencing and assembly	isolation_source	Fankou acid mine drainage sediment Core A	MIMAG Metagenome-assembled Genome sample from Actinomycetota bacterium	Not Available	MIMAG.wastewater	Sun Yat-Sen University	MIMAG.wastewater.6.0	2022-05-17 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	1494421	60	100.0x	2497223	GCA_023379605.1	Actinomycetota bacterium	2900548	2.497223	cd05931	FAAL	1	#FFFFFF
MCL6105576.1	GCA_023489215.1	Actinomycetota bacterium	Bacteria; Actinomycetota	mine drainage metagenome Genome sequencing and assembly	isolation_source	Fankou acid mine drainage sediment Core B	MIMAG Metagenome-assembled Genome sample from Actinomycetota bacterium	Not Available	MIMAG.wastewater	Sun Yat-Sen University	MIMAG.wastewater.6.0	2022-05-20 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	946997	46.5	100.0x	2029924	GCA_023489215.1	Actinomycetota bacterium	2900548	2.029924	cd05931	FAAL	1	#FFFFFF
MBO0886252.1	GCA_017354555.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	Hydrogen emissions from termites support lithoautotrophic microbial community in termite mounds	isolation_source	Macrognathotermes sunteri termite mound core	Microbe sample from Acidimicrobiales bacterium	Not Available	Microbe, viral or environmental	Monash University	Microbe.1.0	2020-09-22 0:00:00	Contig	derived from metagenome,fragmented assembly,genus undefined	Illumina NextSeq	1088816	70.5	14.8x	1546726	GCA_017354555.1	Acidimicrobiales bacterium	2201156	1.546726	cd05931	FAAL	1	#FFFFFF
TMM15275.1	GCA_005888295.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Meadow Soil samples from Angelo Coast Range Reserve (2014)	isolate	AC_9	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	Jill Banfield's Lab at Berkeley	Microbe.1.0	2019-04-11 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	2599055	70	7.0x	3722137	GCA_005888295.1	Actinomycetota bacterium	2900548	3.722137	cd05931	FAAL	1	#FFFFFF
MBV9412900.1	GCA_019246695.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Metagenome-assembled genomes from V. epidendroides and B. macrantha-associated communities	isolate	CP_BM_ER_65	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.plant-associated	The Genomics for Climate Change Research Center	MIMAG.plant-associated.6.0	2021-07-04 0:00:00	Contig	derived from metagenome,fragmented assembly,genus undefined	Illumina HiSeq	1946787	68	8.3x	2866424	GCA_019246695.1	Acidimicrobiia bacterium	2080302	2.866424	cd05931	FAAL	1	#FFFFFF
MCC6339793.1	GCA_020846855.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Disturbance-based management of ecosystem services and disservices in partial nitritation anammox biofilms	collection_date	11/11/2015	Uncultivated Acidimicrobiia bacterium SJ254	Not Available	MIMAG.wastewater	University of Gothenburg	MIMAG.wastewater.6.0	2021-07-05 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NovaSeq	1736942	74	12.0x	2350887	GCA_020846855.1	Acidimicrobiia bacterium	2080302	2.350887	cd05931	FAAL	1	#FFFFFF
MBK5287279.1	GCA_016650415.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Reconstruction of metagenome-assembled genomes from microorganisms in ancient Siberian permafrost	collection_date	8/1/2017	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.sediment	Princeton University	MIMAG.sediment.6.0	2021-01-07 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	2075099	67.5	4.8x	3063743	GCA_016650415.1	Acidimicrobiia bacterium	2080302	3.063743	cd05931	FAAL	1	#FFFFFF
MBM3692946.1	GCA_016870595.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Lake Tanganyika Metagenome-Assembled Genomes Metagenome	isolate	K_DeepCast_35m_m1_297	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	University of Wisconsin - Madison	Microbe.1.0	2021-02-12 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2500-1TB	2001855	73.5	52.5x	2717219	GCA_016870595.1	Actinomycetota bacterium	2900548	2.717219	cd05931	FAAL	1	#FFFFFF
MBM3658208.1	GCA_016870245.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Lake Tanganyika Metagenome-Assembled Genomes Metagenome	isolate	K_Offshore_80m_m2_056	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	University of Wisconsin - Madison	Microbe.1.0	2021-02-12 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2500-1TB	2434659	72.5	106.0x	3363940	GCA_016870245.1	Actinomycetota bacterium	2900548	3.36394	cd05931	FAAL	1	#FFFFFF
TMK66694.1	GCA_005884295.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Meadow Soil samples from Angelo Coast Range Reserve (2014)	isolate	AC_68	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	Jill Banfield's Lab at Berkeley	Microbe.1.0	2019-04-11 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	2784768	68.5	6.0x	4120705	GCA_005884295.1	Actinomycetota bacterium	2900548	4.120705	cd05931	FAAL	1	#FFFFFF
MCJ7671311.1	GCA_022867195.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Polar Fox Lagoon sediment Metagenome	isolation_source	Polar Fox Lagoon sediment taken using 3m corer (60 mm diameter)	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.sediment	Radboud University Nijmegen	MIMAG.sediment.6.0	2022-03-31 0:00:00	Contig	derived from metagenome,fragmented assembly,genus undefined	Illumina	1881851	69.5	1.0x	2705395	GCA_022867195.1	Acidimicrobiia bacterium	2080302	2.705395	cd05931	FAAL	1	#FFFFFF
MCJ7437950.1	GCA_022865365.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Polar Fox Lagoon sediment Metagenome	isolation_source	Polar Fox Lagoon sediment taken using 3m corer (60 mm diameter)	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.sediment	Radboud University Nijmegen	MIMAG.sediment.6.0	2022-03-31 0:00:00	Contig	derived from metagenome,genus undefined	Illumina	2443392	69.5	1.0x	3523588	GCA_022865365.1	Acidimicrobiia bacterium	2080302	3.523588	cd05931	FAAL	1	#FFFFFF
MSO78262.1	GCA_009694295.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Lake Baikal Deep Metagenome	isolation_source	freshwater	Acidimicrobiia bacterium Baikal-deep-G33	Not Available	Microbe, viral or environmental	Evolutionary Genomics Group	Microbe.1.0	2019-11-24 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	1407169	67	10.0x	2101587	GCA_009694295.1	Acidimicrobiia bacterium	2080302	2.101587	cd05931	FAAL	1	#FFFFFF
MBM3670610.1	GCA_016870355.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Lake Tanganyika Metagenome-Assembled Genomes Metagenome	isolate	M_DeepCast_50m_m2_189	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	University of Wisconsin - Madison	Microbe.1.0	2021-02-12 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2500-1TB	1909110	68	73.7x	2816131	GCA_016870355.1	Actinomycetota bacterium	2900548	2.816131	cd05931	FAAL	1	#FFFFFF
GIU86128.1	GCA_026002935.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Hot spring metagenomics	sample_name	KatS3mg009	KatS3mg009	Not Available	Generic	RIKEN-BRC	Generic.1.0	2022-10-07 0:00:00	Contig	derived from metagenome,genus undefined	PacBio Sequel II	2582719	75	Not Available	3453061	GCA_026002935.1	Acidimicrobiia bacterium	2080302	3.453061	cd05931	FAAL	1	#FFFFFF
MBI2169193.1	GCA_016179865.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Metagenomes from Northern California groundwater	collection_date	9/12/2017	GD2017-2_S65_QB3_180125_Actinobacteria_70_9	Not Available	MIMAG.water	Jill Banfield's Lab at Berkeley	MIMAG.water.6.0	2020-07-05 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina NovaSeq	1748848	70	69.8x	2506316	GCA_016179865.1	Actinomycetota bacterium	2900548	2.506316	cd05931	FAAL	1	#FFFFFF
TML61733.1	GCA_005888395.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Meadow Soil samples from Angelo Coast Range Reserve (2014)	isolate	AC_25	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	Jill Banfield's Lab at Berkeley	Microbe.1.0	2019-04-11 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	1818349	71.5	9.0x	2556300	GCA_005888395.1	Actinomycetota bacterium	2900548	2.5563	cd05931	FAAL	1	#FFFFFF
TMK86996.1	GCA_005883885.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Meadow Soil samples from Angelo Coast Range Reserve (2014)	isolate	AC_51	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	Jill Banfield's Lab at Berkeley	Microbe.1.0	2019-04-11 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	1557055	69	9.0x	2260394	GCA_005883885.1	Actinomycetota bacterium	2900548	2.260394	cd05931	FAAL	1	#FFFFFF
MBV9254633.1	GCA_019239325.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Metagenome-assembled genomes from V. epidendroides and B. macrantha-associated communities	isolate	CP_BM_RX_R9_19	MIMAG Metagenome-assembled Genome sample from Actinomycetes bacterium	Not Available	MIMAG.plant-associated	The Genomics for Climate Change Research Center	MIMAG.plant-associated.6.0	2021-07-04 0:00:00	Contig	derived from metagenome,fragmented assembly,genus undefined	Illumina HiSeq	2567467	70	7.8x	3668622	GCA_019239325.1	Actinomycetota bacterium	2900548	3.668622	cd05931	FAAL	1	#FFFFFF
MBA2610091.1	GCA_013697265.1	Actinomycetota bacterium	Bacteria; Actinomycetota	16S amplicons, metagenomes and metagenome-assembled genomes of mineral soils from Mackay Glacier regions (Antarctica)	collection_date	2015-01	MIMAG Metagenome-assembled Genome sample from Actinomycetes bacterium	Not Available	MIMAG.soil	Monash University	MIMAG.soil.6.0	2020-06-26 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NextSeq	1798273	66.5	12.9x	2714156	GCA_013697265.1	Actinomycetota bacterium	2900548	2.714156	cd05931	FAAL	1	#FFFFFF
MBA3652710.1	GCA_013816725.1	Actinomycetota bacterium	Bacteria; Actinomycetota	16S amplicons, metagenomes and metagenome-assembled genomes of mineral soils from Mackay Glacier regions (Antarctica)	collection_date	2015-01	MIMAG Metagenome-assembled Genome sample from Actinomycetes bacterium	Not Available	MIMAG.soil	Monash University	MIMAG.soil.6.0	2020-06-26 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina NextSeq	1939599	68.5	9.9x	2822322	GCA_013816725.1	Actinomycetota bacterium	2900548	2.822322	cd05931	FAAL	1	#FFFFFF
MBW3557367.1	GCA_019348055.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Microbial communities in the Qaidam Basin	isolate	0712_bin7	MIMAG Metagenome-assembled Genome sample from Actinomycetes bacterium	Not Available	MIMAG.soil	Institute of Geology and Geophysics, Chinese Academy of Sciences	MIMAG.soil.6.0	2021-05-12 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina Novaseq	1952011	70.5	66.1x	2770803	GCA_019348055.1	Actinomycetota bacterium	2900548	2.770803	cd05931	FAAL	1	#FFFFFF
MBW3668331.1	GCA_019347595.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Microbial communities in the Qaidam Basin	isolate	0813_bin7	MIMAG Metagenome-assembled Genome sample from Actinomycetes bacterium	Not Available	MIMAG.soil	Institute of Geology and Geophysics, Chinese Academy of Sciences	MIMAG.soil.6.0	2021-05-12 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina Novaseq	1665894	71.5	9.7x	2335239	GCA_019347595.1	Actinomycetota bacterium	2900548	2.335239	cd05931	FAAL	1	#FFFFFF
TML36979.1	GCA_005884125.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Meadow Soil samples from Angelo Coast Range Reserve (2014)	isolate	AC_35	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	Jill Banfield's Lab at Berkeley	Microbe.1.0	2019-04-11 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	2679820	72	7.0x	3741061	GCA_005884125.1	Actinomycetota bacterium	2900548	3.741061	cd05931	FAAL	1	#FFFFFF
MBV8983886.1	GCA_019245395.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Metagenome-assembled genomes from V. epidendroides and B. macrantha-associated communities	isolate	CP_BM_ER_R7_11	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.plant-associated	The Genomics for Climate Change Research Center	MIMAG.plant-associated.6.0	2021-07-04 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	2481125	69	7.3x	3600373	GCA_019245395.1	Acidimicrobiia bacterium	2080302	3.600373	cd05931	FAAL	1	#FFFFFF
MBV8162140.1	GCA_019236915.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Metagenome-assembled genomes from V. epidendroides and B. macrantha-associated communities	isolate	CP_BE_BS_36	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.plant-associated	The Genomics for Climate Change Research Center	MIMAG.plant-associated.6.0	2021-07-04 0:00:00	Contig	derived from metagenome,fragmented assembly,genus undefined	Illumina HiSeq	2114669	70.5	7.2x	2999507	GCA_019236915.1	Acidimicrobiia bacterium	2080302	2.999507	cd05931	FAAL	1	#FFFFFF
MBV8235747.1	GCA_019236585.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Metagenome-assembled genomes from V. epidendroides and B. macrantha-associated communities	isolate	CP_BE_BS_R1_4	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.plant-associated	The Genomics for Climate Change Research Center	MIMAG.plant-associated.6.0	2021-07-04 0:00:00	Contig	derived from metagenome,fragmented assembly,genus undefined	Illumina HiSeq	1921514	70	7.4x	2746515	GCA_019236585.1	Acidimicrobiia bacterium	2080302	2.746515	cd05931	FAAL	1	#FFFFFF
MBV8303551.1	GCA_019236195.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Metagenome-assembled genomes from V. epidendroides and B. macrantha-associated communities	isolate	CP_BE_BS_R3_1	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.plant-associated	The Genomics for Climate Change Research Center	MIMAG.plant-associated.6.0	2021-07-04 0:00:00	Contig	derived from metagenome,fragmented assembly,genus undefined	Illumina HiSeq	1987919	70	7.8x	2831405	GCA_019236195.1	Acidimicrobiia bacterium	2080302	2.831405	cd05931	FAAL	1	#FFFFFF
MBI2708664.1	GCA_016185275.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Metagenomes from Northern California groundwater	collection_date	5/3/2019	alan_book_18_Actinobacteria_73_18	Not Available	MIMAG.water	Jill Banfield's Lab at Berkeley	MIMAG.water.6.0	2020-12-22 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina NovaSeq	2515337	73	73.1x	3441936	GCA_016185275.1	Actinomycetota bacterium	2900548	3.441936	cd05931	FAAL	1	#FFFFFF
NLV54668.1	GCA_012730075.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	Microbiome of anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	isolation_source	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	MIMAG0129	Not Available	MIMAG	Technical University of Denmark	MIMAG.6.0	2020-01-21 0:00:00	Contig	derived from metagenome,genus undefined	Illumina Hiseq 2500	2455189	74	350.0x	3319308	GCA_012730075.1	Acidimicrobiales bacterium	2201156	3.319308	cd05931	FAAL	1	#FFFFFF
WP_255566415.1	GCF_019443745.1	Iamia sp. SCSIO 61187	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Iamiaceae; Iamia	Iamia sp. SCSIO 61187 Genome sequencing	strain	SCSIO 61187	Microbe sample from Iamia sp. SCSIO 61187	Not Available	Microbe, viral or environmental	south china sea institute of oceanology	Microbe.1.0	2021-04-01 0:50:38	Complete Genome	Not Available	PacBio Sequel	3867659	73.5	196.0x	5249614	GCF_019443745.1	Iamia sp. SCSIO 61187	2722752	5.249614	cd05931	FAAL	1	#FFFFFF
MBS1847703.1	GCA_018268545.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Lab-scale sequencing batch reactors of AS under antibiotic selection pressure Metagenome	isolate	SZAS-2	ACTI-2	Not Available	Microbe, viral or environmental	The University Hong Kong	Microbe.1.0	2021-05-05 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	1773845	67.5	10.0x	2631800	GCA_018268545.1	Actinomycetota bacterium	2900548	2.6318	cd05931	FAAL	1	#FFFFFF
MCB0978352.1	GCA_020439555.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	activated sludge metagenome Raw sequence reads	isolation_source	activated sludge from Shatin waste water treatment plant collected monthly from 2007 through 2015	ACTI_08	Not Available	Microbe, viral or environmental	The University Hong Kong	Microbe.1.0	2021-10-14 6:39:56	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	2173181	68	32.0x	3208752	GCA_020439555.1	Acidimicrobiales bacterium	2201156	3.208752	cd05931	FAAL	1	#FFFFFF
WP_216998452.1	GCF_019048865.1	Aquihabitans sp. G128	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Iamiaceae; Aquihabitans	Aquihabitans sp. G128 Genome sequencing	strain	G128	Microbe sample from Aquihabitans sp. G128	Not Available	Microbe, viral or environmental	Hankyong National University	Microbe.1.0	2021-06-21 0:00:00	Complete Genome	Not Available	Oxford Nanopore MinION	3615996	73	77.7x	4938963	GCF_019048865.1	Aquihabitans sp. G128	2849779	4.938963	cd05931	FAAL	1	#FFFFFF
NLD75242.1	GCA_012513855.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	Microbiome of anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	isolation_source	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	MIMAG0956	Not Available	MIMAG	Technical University of Denmark	MIMAG.6.0	2020-01-21 0:00:00	Contig	derived from metagenome,genus undefined	Illumina Hiseq 2500	2625193	70	195.6x	3754225	GCA_012513855.1	Acidimicrobiales bacterium	2201156	3.754225	cd05931	FAAL	1	#FFFFFF
MBK6857312.1	GCA_016702505.1	Microthrixaceae bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Microthrixaceae	Activated sludge metagenome Genome sequencing and assembly	collection_date	8/30/2018	MIMAG Metagenome-assembled Genome sample from Microthrixaceae bacterium	Not Available	MIMAG.wastewater	Aalborg University	MIMAG.wastewater.6.0	2021-01-20 0:00:00	Contig	derived from metagenome,genus undefined	Oxford Nanopore PromethION	2619007	66.5	12.8x	3923940	GCA_016702505.1	Microthrixaceae bacterium	2497627	3.92394	cd05931	FAAL	1	#FFFFFF
MCB0987164.1	GCA_020637155.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	Hong Kong Shatin Activated Sludge Metagenome	isolate	HK-STAS-ACTI-8	MIMAG Metagenome-assembled Genome sample from Microthrixaceae bacterium	Not Available	MIMAG.wastewater	The University of Hong Kong	MIMAG.wastewater.6.0	2021-10-16 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq; Oxford Nanopore PromethION	1729190	68	79.3x	2544858	GCA_020637155.1	Microthrixaceae bacterium	2497627	2.544858	cd05931	FAAL	1	#FFFFFF
